Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,6540,6591,13131,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),459 (85),462 (81),460 (83),
HIV Status at Study Start,HIV-uninfected,4719 (72%),4721 (72%),9440 (72%),
,HIV-infected,1813 (28%),1854 (28%),3667 (28%),
,Refused HIV testing,8 (<1%),16 (<1%),24 (<1%),
Gender,Male,2378 (36%),2413 (37%),4791 (36%),
,Female,4162 (64%),4178 (63%),8340 (64%),
Age,Mean (SD),35 (13),35 (13),35 (13),
Marital Status,Single/never married,5234 (80%),5168 (78%),10402 (79%),2 (<1%)
,Married,1009 (15%),1110 (17%),2119 (16%),
,Divorced/separated,101 (2%),108 (2%),209 (2%),
,Widowed,195 (3%),204 (3%),399 (3%),
Education,Non-formal,760 (12%),648 (10%),1408 (11%),45 (<1%)
,Primary,1258 (19%),1283 (20%),2541 (19%),
,Junior secondary,2552 (39%),2347 (36%),4899 (37%),
,Senior secondary,1117 (17%),1207 (18%),2324 (18%),
,Higher than senior secondary,834 (13%),1080 (16%),1914 (15%),
Monthly Income,No income,3885 (59%),3577 (54%),7462 (57%),13 (<1%)
,1-199 pula,136 (2%),111 (2%),247 (2%),
,200-499 pula,275 (4%),293 (4%),568 (4%),
,500-999 pula,644 (10%),654 (10%),1298 (10%),
,1000-4999 pula,1254 (19%),1470 (22%),2724 (21%),
,5000-10000 pula,243 (4%),317 (5%),560 (4%),
,More than 10000 pula,99 (2%),160 (2%),259 (2%),
Weekly Alcohol Consumption,0,4813 (77%),4748 (75%),9561 (76%),555 (4%)
,1,389 (6%),454 (7%),843 (7%),
,2,418 (7%),485 (8%),903 (7%),
,3,414 (7%),419 (7%),833 (7%),
,4,231 (4%),205 (3%),436 (3%),
Number of Partners (Last 12 Months),0,576 (10%),567 (9%),1143 (9%),995 (8%)
,1,3325 (55%),3349 (55%),6674 (55%),
,2,1800 (30%),1755 (29%),3555 (29%),
,3,187 (3%),228 (4%),415 (3%),
,4,166 (3%),183 (3%),349 (3%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.28 (0.07),0.28 (0.06),0.28 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.37 (0.03),0.36 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.78 (0.08),0.85 (0.06),0.82 (0.08),
