Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,4719,4721,9440,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),461 (85),464 (79),463 (82),
Gender,Male,1897 (40%),1900 (40%),3797 (40%),
,Female,2822 (60%),2821 (60%),5643 (60%),
Age,Mean (SD),33 (14),33 (14),33 (14),
Marital Status,Single/never married,3803 (81%),3715 (79%),7518 (80%),
,Married,745 (16%),825 (17%),1570 (17%),
,Divorced/separated,59 (1%),61 (1%),120 (1%),
,Widowed,112 (2%),120 (3%),232 (2%),
Education,Non-formal,472 (10%),391 (8%),863 (9%),27 (<1%)
,Primary,729 (15%),716 (15%),1445 (15%),
,Junior secondary,1807 (38%),1642 (35%),3449 (37%),
,Senior secondary,972 (21%),1027 (22%),1999 (21%),
,Higher than senior secondary,726 (15%),931 (20%),1657 (18%),
Monthly Income,No income,2830 (60%),2568 (54%),5398 (57%),5 (<1%)
,1-199 pula,103 (2%),82 (2%),185 (2%),
,200-499 pula,200 (4%),217 (5%),417 (4%),
,500-999 pula,414 (9%),443 (9%),857 (9%),
,1000-4999 pula,882 (19%),1021 (22%),1903 (20%),
,5000-10000 pula,203 (4%),254 (5%),457 (5%),
,More than 10000 pula,84 (2%),134 (3%),218 (2%),
Weekly Alcohol Consumption,0,3381 (75%),3297 (74%),6678 (74%),466 (5%)
,1,293 (7%),328 (7%),621 (7%),
,2,318 (7%),358 (8%),676 (8%),
,3,315 (7%),329 (7%),644 (7%),
,4,183 (4%),172 (4%),355 (4%),
Number of Partners (Last 12 Months),0,361 (8%),345 (8%),706 (8%),894 (9%)
,1,2305 (54%),2300 (54%),4605 (54%),
,2,1311 (31%),1279 (30%),2590 (30%),
,3,160 (4%),193 (5%),353 (4%),
,4,135 (3%),157 (4%),292 (3%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.27 (0.07),0.28 (0.06),0.27 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.37 (0.03),0.37 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.78 (0.08),0.85 (0.06),0.81 (0.08),
