"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","819","949","1768",""
"2","Number of Clusters","--","15","15","30",""
"3","Cluster Size","Mean (SD)","467 (82)","465 (77)","466 (79)",""
"4","HIV Status at Study Start","HIV-uninfected","819 (100%)","949 (100%)","1768 (100%)",""
"5","Gender","Male","819 (100%)","949 (100%)","1768 (100%)",""
"6","Age","Mean (SD)","29 (10)","28 (9)","28 (10)",""
"7","Marital Status","Single/never married","727 (89%)","847 (89%)","1574 (89%)",""
"8","","Married","86 (11%)","94 (10%)","180 (10%)",""
"9","","Divorced/separated","4 (<1%)","5 (1%)","9 (1%)",""
"10","","Widowed","2 (<1%)","3 (<1%)","5 (<1%)",""
"11","Education","Non-formal","45 (6%)","33 (3%)","78 (4%)","3 (<1%)"
"12","","Primary","86 (11%)","87 (9%)","173 (10%)",""
"13","","Junior secondary","382 (47%)","397 (42%)","779 (44%)",""
"14","","Senior secondary","152 (19%)","224 (24%)","376 (21%)",""
"15","","Higher than senior secondary","153 (19%)","206 (22%)","359 (20%)",""
"16","Monthly Income","No income","439 (54%)","475 (50%)","914 (52%)","1 (<1%)"
"17","","1-199 pula","14 (2%)","21 (2%)","35 (2%)",""
"18","","200-499 pula","30 (4%)","39 (4%)","69 (4%)",""
"19","","500-999 pula","54 (7%)","70 (7%)","124 (7%)",""
"20","","1000-4999 pula","208 (25%)","251 (26%)","459 (26%)",""
"21","","5000-10000 pula","55 (7%)","56 (6%)","111 (6%)",""
"22","","More than 10000 pula","18 (2%)","37 (4%)","55 (3%)",""
"23","Weekly Alcohol Consumption","0","462 (60%)","494 (56%)","956 (58%)","107 (6%)"
"24","","1","71 (9%)","90 (10%)","161 (10%)",""
"25","","2","89 (12%)","127 (14%)","216 (13%)",""
"26","","3","90 (12%)","123 (14%)","213 (13%)",""
"27","","4","61 (8%)","54 (6%)","115 (7%)",""
"28","Number of Partners (Last 12 Months)","0","38 (5%)","34 (4%)","72 (5%)","247 (14%)"
"29","","1","316 (45%)","377 (46%)","693 (46%)",""
"30","","2","249 (36%)","264 (32%)","513 (34%)",""
"31","","3","45 (6%)","69 (8%)","114 (7%)",""
"32","","4","50 (7%)","79 (10%)","129 (8%)",""
"33","Village Proportion of HIV Infected at Study Start","Mean (SD)","0.27 (0.07)","0.27 (0.06)","0.27 (0.06)",""
"34","Village Proportion of Males in Cluster","Mean (SD)","0.37 (0.02)","0.37 (0.03)","0.37 (0.03)",""
"35","Village Proportion Virally Suppressed Among HIV+","Mean (SD)","0.78 (0.08)","0.85 (0.06)","0.82 (0.08)",""
