Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,1447,1515,2962,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),465 (89),467 (75),466 (82),
Gender,Male,819 (57%),949 (63%),1768 (60%),
,Female,628 (43%),566 (37%),1194 (40%),
Age,Mean (SD),31 (11),30 (11),30 (11),
Marital Status,Single/never married,1241 (86%),1301 (86%),2542 (86%),
,Married,181 (13%),183 (12%),364 (12%),
,Divorced/separated,13 (1%),10 (1%),23 (1%),
,Widowed,12 (1%),21 (1%),33 (1%),
Education,Non-formal,88 (6%),65 (4%),153 (5%),6 (<1%)
,Primary,191 (13%),168 (11%),359 (12%),
,Junior secondary,628 (43%),598 (40%),1226 (41%),
,Senior secondary,275 (19%),360 (24%),635 (21%),
,Higher than senior secondary,263 (18%),320 (21%),583 (20%),
Monthly Income,No income,798 (55%),784 (52%),1582 (53%),2 (<1%)
,1-199 pula,32 (2%),30 (2%),62 (2%),
,200-499 pula,63 (4%),57 (4%),120 (4%),
,500-999 pula,136 (9%),134 (9%),270 (9%),
,1000-4999 pula,323 (22%),380 (25%),703 (24%),
,5000-10000 pula,69 (5%),79 (5%),148 (5%),
,More than 10000 pula,25 (2%),50 (3%),75 (3%),
Weekly Alcohol Consumption,0,1008 (72%),964 (66%),1972 (69%),107 (4%)
,1,99 (7%),130 (9%),229 (8%),
,2,113 (8%),151 (10%),264 (9%),
,3,112 (8%),150 (10%),262 (9%),
,4,69 (5%),59 (4%),128 (4%),
Number of Partners (Last 12 Months),0,69 (5%),63 (5%),132 (5%),273 (9%)
,1,688 (52%),697 (51%),1385 (52%),
,2,442 (34%),449 (33%),891 (33%),
,3,58 (4%),86 (6%),144 (5%),
,4,54 (4%),83 (6%),137 (5%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.27 (0.06),0.27 (0.06),0.27 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.37 (0.03),0.37 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.78 (0.08),0.85 (0.06),0.81 (0.08),
