Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,3272,3206,6478,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),460 (83),463 (81),461 (82),
Gender,Male,1078 (33%),951 (30%),2029 (31%),
,Female,2194 (67%),2255 (70%),4449 (69%),
Age,Mean (SD),34 (14),35 (15),34 (14),
Marital Status,Single/never married,2562 (78%),2414 (75%),4976 (77%),
,Married,564 (17%),642 (20%),1206 (19%),
,Divorced/separated,46 (1%),51 (2%),97 (1%),
,Widowed,100 (3%),99 (3%),199 (3%),
Education,Non-formal,384 (12%),326 (10%),710 (11%),21 (<1%)
,Primary,538 (16%),548 (17%),1086 (17%),
,Junior secondary,1179 (36%),1044 (33%),2223 (34%),
,Senior secondary,697 (21%),667 (21%),1364 (21%),
,Higher than senior secondary,463 (14%),611 (19%),1074 (17%),
Monthly Income,No income,2032 (62%),1784 (56%),3816 (59%),3 (<1%)
,1-199 pula,71 (2%),52 (2%),123 (2%),
,200-499 pula,137 (4%),160 (5%),297 (5%),
,500-999 pula,278 (9%),309 (10%),587 (9%),
,1000-4999 pula,559 (17%),641 (20%),1200 (19%),
,5000-10000 pula,134 (4%),175 (5%),309 (5%),
,More than 10000 pula,59 (2%),84 (3%),143 (2%),
Weekly Alcohol Consumption,0,2373 (77%),2333 (77%),4706 (77%),359 (6%)
,1,194 (6%),198 (7%),392 (6%),
,2,205 (7%),207 (7%),412 (7%),
,3,203 (7%),179 (6%),382 (6%),
,4,114 (4%),113 (4%),227 (4%),
Number of Partners (Last 12 Months),0,292 (10%),282 (10%),574 (10%),621 (10%)
,1,1617 (55%),1603 (55%),3220 (55%),
,2,869 (29%),830 (29%),1699 (29%),
,3,102 (3%),107 (4%),209 (4%),
,4,81 (3%),74 (3%),155 (3%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.27 (0.07),0.28 (0.06),0.27 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.37 (0.03),0.37 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.78 (0.08),0.85 (0.06),0.81 (0.08),
