Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,1813,1854,3667,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),453 (86),456 (86),454 (86),
Gender,Male,478 (26%),507 (27%),985 (27%),
,Female,1335 (74%),1347 (73%),2682 (73%),
Age,Mean (SD),40 (11),41 (11),41 (11),
Marital Status,Single/never married,1426 (79%),1441 (78%),2867 (78%),
,Married,262 (14%),283 (15%),545 (15%),
,Divorced/separated,42 (2%),46 (2%),88 (2%),
,Widowed,83 (5%),84 (5%),167 (5%),
Education,Non-formal,288 (16%),257 (14%),545 (15%),16 (<1%)
,Primary,529 (29%),567 (31%),1096 (30%),
,Junior secondary,742 (41%),703 (38%),1445 (40%),
,Senior secondary,143 (8%),175 (9%),318 (9%),
,Higher than senior secondary,106 (6%),141 (8%),247 (7%),
Monthly Income,No income,1054 (58%),1006 (54%),2060 (56%),6 (<1%)
,1-199 pula,33 (2%),29 (2%),62 (2%),
,200-499 pula,74 (4%),76 (4%),150 (4%),
,500-999 pula,230 (13%),210 (11%),440 (12%),
,1000-4999 pula,370 (20%),443 (24%),813 (22%),
,5000-10000 pula,38 (2%),62 (3%),100 (3%),
,More than 10000 pula,14 (1%),22 (1%),36 (1%),
Weekly Alcohol Consumption,0,1427 (81%),1442 (80%),2869 (80%),87 (2%)
,1,95 (5%),123 (7%),218 (6%),
,2,100 (6%),125 (7%),225 (6%),
,3,98 (6%),90 (5%),188 (5%),
,4,48 (3%),32 (2%),80 (2%),
Number of Partners (Last 12 Months),0,215 (12%),221 (12%),436 (12%),99 (3%)
,1,1015 (57%),1042 (58%),2057 (58%),
,2,488 (27%),472 (26%),960 (27%),
,3,27 (2%),33 (2%),60 (2%),
,4,30 (2%),25 (1%),55 (2%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.29 (0.06),0.29 (0.06),0.29 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.36 (0.03),0.36 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.8 (0.07),0.86 (0.06),0.83 (0.07),
