Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,1693,1771,3464,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),453 (86),455 (87),454 (86),
Gender,Male,436 (26%),479 (27%),915 (26%),
,Female,1257 (74%),1292 (73%),2549 (74%),
Age,Mean (SD),41 (10),41 (11),41 (11),
Marital Status,Single/never married,1322 (78%),1369 (77%),2691 (78%),
,Married,252 (15%),274 (15%),526 (15%),
,Divorced/separated,39 (2%),45 (3%),84 (2%),
,Widowed,80 (5%),83 (5%),163 (5%),
Education,Non-formal,274 (16%),249 (14%),523 (15%),15 (<1%)
,Primary,501 (30%),552 (31%),1053 (31%),
,Junior secondary,700 (41%),670 (38%),1370 (40%),
,Senior secondary,120 (7%),161 (9%),281 (8%),
,Higher than senior secondary,94 (6%),128 (7%),222 (6%),
Monthly Income,No income,995 (59%),967 (55%),1962 (57%),3 (<1%)
,1-199 pula,33 (2%),26 (1%),59 (2%),
,200-499 pula,72 (4%),75 (4%),147 (4%),
,500-999 pula,205 (12%),204 (12%),409 (12%),
,1000-4999 pula,341 (20%),422 (24%),763 (22%),
,5000-10000 pula,35 (2%),56 (3%),91 (3%),
,More than 10000 pula,12 (1%),18 (1%),30 (1%),
Weekly Alcohol Consumption,0,1352 (81%),1395 (81%),2747 (81%),74 (2%)
,1,88 (5%),112 (6%),200 (6%),
,2,93 (6%),117 (7%),210 (6%),
,3,90 (5%),80 (5%),170 (5%),
,4,37 (2%),26 (2%),63 (2%),
Number of Partners (Last 12 Months),0,205 (12%),215 (13%),420 (12%),89 (3%)
,1,959 (58%),997 (58%),1956 (58%),
,2,451 (27%),446 (26%),897 (27%),
,3,23 (1%),32 (2%),55 (2%),
,4,25 (2%),22 (1%),47 (1%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.3 (0.06),0.3 (0.06),0.3 (0.06),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.36 (0.03),0.36 (0.03),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.8 (0.07),0.86 (0.06),0.83 (0.07),
