Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,120,83,203,
Number of Clusters,--,15,15,30,
Cluster Size,Mean (SD),458 (81),464 (85),461 (82),
Gender,Male,42 (35%),28 (34%),70 (34%),
,Female,78 (65%),55 (66%),133 (66%),
Age,Mean (SD),35 (10),35 (10),35 (10),
Marital Status,Single/never married,104 (87%),72 (87%),176 (87%),
,Married,10 (8%),9 (11%),19 (9%),
,Divorced/separated,3 (2%),1 (1%),4 (2%),
,Widowed,3 (2%),1 (1%),4 (2%),
Education,Non-formal,14 (12%),8 (10%),22 (11%),1 (<1%)
,Primary,28 (24%),15 (18%),43 (21%),
,Junior secondary,42 (35%),33 (40%),75 (37%),
,Senior secondary,23 (19%),14 (17%),37 (18%),
,Higher than senior secondary,12 (10%),13 (16%),25 (12%),
Monthly Income,No income,59 (49%),39 (49%),98 (49%),3 (1%)
,1-199 pula,NA,3 (4%),3 (2%),
,200-499 pula,2 (2%),1 (1%),3 (2%),
,500-999 pula,25 (21%),6 (8%),31 (16%),
,1000-4999 pula,29 (24%),21 (26%),50 (25%),
,5000-10000 pula,3 (2%),6 (8%),9 (4%),
,More than 10000 pula,2 (2%),4 (5%),6 (3%),
Weekly Alcohol Consumption,0,75 (69%),47 (57%),122 (64%),13 (6%)
,1,7 (6%),11 (13%),18 (9%),
,2,7 (6%),8 (10%),15 (8%),
,3,8 (7%),10 (12%),18 (9%),
,4,11 (10%),6 (7%),17 (9%),
Number of Partners (Last 12 Months),0,10 (9%),6 (7%),16 (8%),10 (5%)
,1,56 (50%),45 (56%),101 (52%),
,2,37 (33%),26 (32%),63 (33%),
,3,4 (4%),1 (1%),5 (3%),
,4,5 (4%),3 (4%),8 (4%),
Village Proportion of HIV Infected at Study Start,Mean (SD),0.27 (0.07),0.28 (0.07),0.27 (0.07),
Village Proportion of Males in Cluster,Mean (SD),0.36 (0.02),0.37 (0.03),0.37 (0.02),
Village Proportion Virally Suppressed Among HIV+,Mean (SD),0.77 (0.09),0.83 (0.06),0.8 (0.08),
