"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","4719","4721","9440",""
"2","Number of Clusters","--","15","15","30",""
"3","Component 1: VMMC","Yes","665 (15%)","852 (19%)","1517 (17%)","487 (5%)"
"4","","No","991 (22%)","802 (18%)","1793 (20%)",""
"5","","Female","2822 (63%)","2821 (63%)","5643 (63%)",""
"6","Component 2: HTC","Yes","879 (20%)","812 (18%)","1691 (19%)","450 (5%)"
"7","","No","3615 (80%)","3684 (82%)","7299 (81%)",""
"8","Component 3: ART","Yes","27 (29%)","30 (49%)","57 (37%)","9287 (98%)"
"9","","No","65 (71%)","31 (51%)","96 (63%)",""
"10","Received any component","Yes","1447 (31%)","1515 (32%)","2962 (31%)",""
"11","","No","3272 (69%)","3206 (68%)","6478 (69%)",""
"12","Village Proportion of Men who received VMMC","Mean (SD)","0.28 (0.05)","0.35 (0.07)","0.32 (0.07)",""
"13","Village Proportion of People who received HTC","Mean (SD)","0.36 (0.06)","0.35 (0.05)","0.35 (0.06)",""
"14","Village Proportion of HIV+ who received ART","Mean (SD)","0.89 (0.07)","0.95 (0.05)","0.92 (0.06)",""
"15","Village Proportion of HIV- who received at least 1 component","Mean (SD)","0.31 (0.05)","0.32 (0.06)","0.31 (0.05)",""
"16","Outcome 1: HIV Seroconversion (3-year period)","Yes","90 (2%)","57 (1%)","147 (2%)","889 (9%)"
"17","","No","4202 (98%)","4202 (99%)","8404 (98%)",""
"18","Outcome 2: Mortality (3-year period)","Yes","39 (1%)","19 (<1%)","58 (1%)","450 (5%)"
"19","","No","4455 (99%)","4477 (100%)","8932 (99%)",""
