Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,1897,1900,3797,
Number of Clusters,--,15,15,30,
Component 1: VMMC,Yes,665 (40%),852 (52%),1517 (46%),487 (13%)
,No,991 (60%),802 (48%),1793 (54%),
Component 2: HTC,Yes,251 (14%),246 (14%),497 (14%),207 (5%)
,No,1541 (86%),1552 (86%),3093 (86%),
Received any component,Yes,819 (43%),949 (50%),1768 (47%),
,No,1078 (57%),951 (50%),2029 (53%),
Village Proportion of Men who received VMMC,Mean (SD),0.28 (0.05),0.35 (0.07),0.32 (0.07),
Village Proportion of People who received HTC,Mean (SD),0.36 (0.06),0.35 (0.05),0.35 (0.06),
Village Proportion of HIV+ who received ART,Mean (SD),0.9 (0.07),0.95 (0.05),0.92 (0.06),
Outcome 1: HIV Seroconversion (3-year period),Yes,20 (1%),8 (<1%),28 (1%),445 (12%)
,No,1659 (99%),1665 (100%),3324 (99%),
