"","Variable","Level","Control","Treatment","Overall","Missing (Overall)"
"1","Number of Individuals","--","819","949","1768",""
"2","Number of Clusters","--","15","15","30",""
"3","Component 1: VMMC","Yes","665 (84%)","852 (92%)","1517 (89%)","55 (3%)"
"4","","No","122 (16%)","74 (8%)","196 (11%)",""
"5","Component 2: HTC","Yes","251 (32%)","246 (28%)","497 (30%)","104 (6%)"
"6","","No","523 (68%)","644 (72%)","1167 (70%)",""
"7","Component 3: ART","Yes","1 (12%)","2 (67%)","3 (27%)","1757 (99%)"
"8","","No","7 (88%)","1 (33%)","8 (73%)",""
"9","Received any component","Yes","819 (100%)","949 (100%)","1768 (100%)",""
"10","Village Proportion of Men who received VMMC","Mean (SD)","0.29 (0.05)","0.37 (0.07)","0.33 (0.07)",""
"11","Village Proportion of People who received HTC","Mean (SD)","0.36 (0.06)","0.35 (0.05)","0.36 (0.06)",""
"12","Village Proportion of HIV+ who received ART","Mean (SD)","0.89 (0.07)","0.95 (0.04)","0.92 (0.06)",""
"13","Village Proportion of HIV- who received at least 1 component","Mean (SD)","0.31 (0.05)","0.33 (0.06)","0.32 (0.05)",""
"14","Outcome 1: HIV Seroconversion (3-year period)","Yes","8 (1%)","3 (<1%)","11 (1%)","199 (11%)"
"15","","No","720 (99%)","838 (100%)","1558 (99%)",""
"16","Outcome 2: Mortality (3-year period)","Yes","2 (<1%)","3 (<1%)","5 (<1%)","104 (6%)"
"17","","No","772 (100%)","887 (100%)","1659 (100%)",""
