Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,1447,1515,2962,
Number of Clusters,--,15,15,30,
Component 1: VMMC,Yes,665 (47%),852 (57%),1517 (52%),55 (2%)
,No,122 (9%),74 (5%),196 (7%),
,Female,628 (44%),566 (38%),1194 (41%),
Component 2: HTC,Yes,879 (63%),812 (56%),1691 (59%),104 (4%)
,No,523 (37%),644 (44%),1167 (41%),
Village Proportion of Men who received VMMC,Mean (SD),0.28 (0.05),0.36 (0.07),0.32 (0.07),
Village Proportion of People who received HTC,Mean (SD),0.36 (0.07),0.35 (0.05),0.36 (0.06),
Village Proportion of HIV+ who received ART,Mean (SD),0.89 (0.07),0.95 (0.04),0.92 (0.06),
Outcome 1: HIV Seroconversion (3-year period),Yes,29 (2%),19 (1%),48 (2%),241 (8%)
,No,1308 (98%),1365 (99%),2673 (98%),
